p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
 , , ,16,32,100,0.68915,432.6118261814117,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.474213,443.9832649230957,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.7841225000000001,455.17014932632446,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,256,0.510148,464.901654958725,1000
 , , ,128,8,16,0.446881,474.6395754814148,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,4,256,0.475103,484.868864774704,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.4891054999999999,495.2522032260895,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.5044744999999999,504.04723834991455,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.9647245,514.8736293315887,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,32,128,0.521009,524.3055984973907,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,8,0.7415905,534.5654468536377,1000
 , , ,100,50,16,0.461059,542.4774191379547,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,32,0.6327389999999999,552.0577008724213,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,100,0.613892,561.4376232624054,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,1.221889,572.8460946083069,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.4612374999999999,580.8318388462067,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,0.864932,590.8755338191986,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,0.5382355,603.2550599575043,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,0.5710975,612.9246797561646,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,0.8067565,622.5573921203613,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,0.5072530000000001,635.2916378974915,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,256,0.616896,645.8218760490417,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,20,0.556315,654.5162019729614,1000
 , , ,64,64,50,0.6165205,662.9561049938202,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,20,0.8013305,674.6109776496887,1000
