p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.0036769999999999,344.8773579597473,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.006735,352.75588035583496,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,256,0.0041675,360.39311027526855,200
 , , ,128,8,16,0.003457,368.67595624923706,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,4,256,0.0043675,375.5630912780762,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.0038445,382.67582392692566,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.0041565,389.67185497283936,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.007345,397.5237743854522,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,32,128,0.003887,404.2960691452026,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,8,0.005922,412.51014018058777,200
 , , ,100,50,16,0.003614,420.1679062843323,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,32,0.0042095,428.162965297699,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,100,0.0042924999999999,434.6927626132965,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,0.009828,442.732081413269,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.0037365,448.8579170703888,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,0.0064659999999999,457.3516755104065,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,0.0038705,468.5588555335999,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,0.0043295,475.83710765838623,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,0.0065375,483.7085480690002,200
