p0,p1,p2,p3,p4,p5,objective,rank
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,100,5.2625525,4260
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,100,5.2625525,4260
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,50,32,8.175934,8563
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,100,5.2625525,4260
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,100,4.9234935,2986
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,6.0176315,6581
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,5.164865499999999,3921
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,2048,16,7.813214,8294
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,100,5.6588095,5567
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,100,4.8642365000000005,2724
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,5.2851775000000005,4338
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,20,5.3479715,4551
 , , ,80,80,100,5.754061999999999,5865
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,80,100,4.571731,1651
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,128,4.6358155,1840
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,32,4.913442,2943
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,80,100,5.117753,3773
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,128,100,4.580524499999999,1671
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,80,32,4.433375,1311
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,32,4.7904265000000015,2410
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,80,32,5.2467745,4208
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,32,4.8900265,2846
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,80,32,5.243549,4200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,32,7.375552499999999,7989
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,32,4.5882305,1698
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,80,8,4.846036,2646
 , , ,96,8,64,5.552154,5196
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,50,4.9024220000000005,2895
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,8,32,4.3368125000000015,1166
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,16,4.5961565,1728
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,80,11.594905,10163
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,100,11.2645455,10105
