p0,p1,p2,p3,p4,p5,objective,lookahead,model_name,acquisition_function
1,0,0,1,9,0,-9.8687035,-1,Initial_Sample,Random_Sampling
1,1,1,10,0,10,-1.917343,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
0,0,1,10,0,10,-6.24653,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,0,1,1,0,2,-4.654189499999998,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
0,0,1,10,0,10,-6.24653,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,0,1,0,0,0,-8.849356,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,1,10,0,10,-4.8548695,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",pi
0,1,1,9,10,5,-4.601039,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),pi
0,1,0,10,0,10,-5.644572999999999,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",pi
0,1,1,10,0,10,-4.8548695,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,1,10,0,10,-4.8548695,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,1,1,10,9,1,-8.5923905,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ucb
1,1,0,10,0,10,-9.806822,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,10,10,10,-4.8094540000000015,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
0,1,0,0,0,10,-5.8129605,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,1,1,0,10,10,-1.597514,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,1,1,0,7,10,-4.787141,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,0,0,6,10,-6.219714499999999,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,0,6,10,10,-5.588259,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,0,0,10,10,10,-8.8444485,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,0,1,8,0,0,-5.2880775,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,0,10,0,0,-12.0770495,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,0,5,4,5,-5.1886785,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,0,0,6,4,6,-8.387578,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,1,1,0,10,10,-4.9521495,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,0,7,10,10,-5.50903,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,0,10,0,0,-12.0770495,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,1,1,0,10,5,-2.4036865,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,1,1,0,10,10,-4.9521495,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,0,1,0,10,5,-4.492043,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
