p0,p1,p2,p3,p4,p5,objective,lookahead,model_name,acquisition_function
0,0,0,2,3,4,-5.363591,-1,Initial_Sample,Random_Sampling
1,1,1,0,0,0,-1.825713,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,0,1,10,10,10,-4.808025499999999,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,1,1,5,10,9,-4.7867845,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
1,1,1,10,10,10,-1.607163,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,1,0,0,0,0,-12.156918,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,1,10,10,10,-4.8094540000000015,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",pi
0,1,1,10,10,2,-6.386452500000001,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),pi
1,0,1,10,10,10,-4.808025499999999,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",pi
1,1,1,10,10,0,-1.5783684999999998,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,1,10,10,10,-1.607163,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,0,1,5,9,10,-5.7922949999999975,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ucb
1,1,1,10,10,10,-1.607163,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,0,7,4,0,-8.465917000000001,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,0,1,10,0,10,-6.24653,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,0,1,10,0,10,-6.24653,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,1,10,0,0,-2.0322435000000003,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,0,8,2,1,-15.433598000000002,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,1,4,8,4,-4.696528000000002,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,0,1,0,10,10,-4.7766470000000005,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,0,9,10,10,-4.5972285,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,1,1,4,2,-8.251175,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,1,4,10,5,-4.808253,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,0,1,2,0,6,-7.0381934999999975,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,0,1,0,10,0,-5.028074999999999,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,0,1,10,10,10,-5.8394415,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,0,1,10,10,0,-8.755068,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,1,0,10,10,-1.597514,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,1,2,1,10,-3.109456,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,1,7,5,2,-7.180314,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
