p0,p1,p2,p3,p4,p5,objective,lookahead,model_name,acquisition_function
0,0,0,2,3,4,-0.0016085,-1,Initial_Sample,Random_Sampling
0,1,1,10,10,0,-0.002215,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,0,1,10,10,10,-0.0012415,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,0,1,8,7,9,-0.0012485,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
1,1,1,10,10,10,-0.0005755,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,0,0,0,0,0,-0.0012185,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,1,10,10,10,-0.0014385,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",pi
0,1,1,10,10,2,-0.0015899999999999,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),pi
1,0,1,10,10,10,-0.0012415,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",pi
1,1,1,10,10,0,-0.0036985,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
1,1,1,10,10,10,-0.0005755,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,0,1,9,4,1,-0.001586,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ucb
1,1,1,10,10,10,-0.0005755,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,1,6,4,6,-0.000693,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,1,0,1,0,10,-0.001497,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,1,1,0,10,10,-0.001259,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,0,1,10,0,1,-0.002035,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,0,1,7,4,6,-0.001156,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,1,1,0,10,10,-0.000699,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,1,0,10,0,10,-0.0012545,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,1,0,10,0,10,-0.0015665,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,1,1,10,0,10,-0.000668,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,1,0,10,0,1,-0.001775,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,1,0,0,7,0,-0.00127,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,1,0,10,0,9,-0.0012415,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
1,1,1,10,0,9,-0.0005435,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,1,9,3,6,-0.001356,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
1,1,1,6,9,10,-0.000697,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,0,10,0,0,-0.0013135,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
1,0,0,7,10,10,-0.0019955,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
