filename,runtime
mmp_all_XL_186,2.1354805
mmp_all_XL_187,10.701234
mmp_all_XL_188,6.959538
mmp_all_XL_189,3.6348565
mmp_all_XL_190,3.0928655000000003
mmp_all_XL_191,2.7278965
mmp_all_XL_192,2.3981945
mmp_all_XL_193,2.1625345
mmp_all_XL_194,2.0864355
mmp_all_XL_195,1.905031
mmp_all_XL_196,2.0074465000000004
mmp_all_XL_197,2.103761
mmp_all_XL_198,11.0112955
mmp_all_XL_199,6.8031155000000005
mmp_all_XL_200,3.7228845
mmp_all_XL_201,3.0352550000000003
mmp_all_XL_202,2.678885
mmp_all_XL_203,2.302427
mmp_all_XL_204,2.2126975
mmp_all_XL_205,2.110326
mmp_all_XL_206,2.038318
mmp_all_XL_207,2.0143060000000004
mmp_all_XL_208,2.2180305
mmp_all_XL_209,11.280877
mmp_all_XL_210,7.27342
mmp_all_XL_211,3.763105
mmp_all_XL_212,3.0388905
mmp_all_XL_213,2.7923935
mmp_all_XL_214,2.313211
mmp_all_XL_215,2.202411
mmp_all_XL_216,2.1206975
mmp_all_XL_217,2.0587575
mmp_all_XL_218,2.0958235
mmp_all_XL_219,2.14476
mmp_all_XL_220,11.2295535
mmp_all_XL_221,6.931589
mmp_all_XL_222,3.691338
mmp_all_XL_223,3.059951
mmp_all_XL_224,2.6720575
mmp_all_XL_225,2.350428
mmp_all_XL_226,2.301397
mmp_all_XL_227,2.1498025000000003
mmp_all_XL_228,1.9774515
mmp_all_XL_229,2.08957
mmp_all_XL_230,2.147803
mmp_all_XL_231,28.7700545
mmp_all_XL_232,15.181323999999998
mmp_all_XL_233,7.559846
mmp_all_XL_234,6.3144800000000005
mmp_all_XL_235,5.672507
mmp_all_XL_236,4.2335720000000014
mmp_all_XL_237,3.3664855000000005
mmp_all_XL_238,3.2778730000000005
mmp_all_XL_239,2.970448
mmp_all_XL_240,3.1337490000000003
mmp_all_XL_241,3.468218
mmp_all_XL_242,16.883380000000002
mmp_all_XL_243,13.3993255
mmp_all_XL_244,5.2522660000000005
mmp_all_XL_245,4.674413
mmp_all_XL_246,3.494738
mmp_all_XL_247,3.19182
mmp_all_XL_248,2.793141
mmp_all_XL_249,2.8277
